#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,height,weight,base_experience,sprites
29,Ekans,Poison,Normal,35,60,44,40,54,55,1,False,20,69,58,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/ekans.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/ekans.gif'}"
30,Arbok,Poison,Normal,60,85,69,65,79,80,1,False,35,650,157,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/arbok.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/arbok.gif'}"
31,Pikachu,Electric,Normal,35,55,40,50,50,90,1,False,4,60,112,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/pikachu.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/pikachu.gif'}"
32,Raichu,Electric,Normal,60,90,55,90,80,110,1,False,8,300,218,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/raichu.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/raichu.gif'}"
33,Sandshrew,Ground,Normal,50,75,85,20,30,40,1,False,6,120,60,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/sandshrew.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/sandshrew.gif'}"
34,Sandslash,Ground,Normal,75,100,110,45,55,65,1,False,10,295,158,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/sandslash.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/sandslash.gif'}"
36,Nidorina,Poison,Normal,70,62,67,55,55,56,1,False,8,200,128,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/nidorina.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/nidorina.gif'}"
37,Nidoqueen,Poison,Ground,90,92,87,75,85,76,1,False,13,600,227,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/nidoqueen.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/nidoqueen.gif'}"
39,Nidorino,Poison,Normal,61,72,57,55,55,65,1,False,9,195,128,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/nidorino.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/nidorino.gif'}"
40,Nidoking,Poison,Ground,81,102,77,85,75,85,1,False,14,620,227,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/nidoking.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/nidoking.gif'}"
41,Clefairy,Fairy,Normal,70,45,48,60,65,35,1,False,6,75,113,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/clefairy.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/clefairy.gif'}"
42,Clefable,Fairy,Normal,95,70,73,95,90,60,1,False,13,400,217,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/clefable.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/clefable.gif'}"
43,Vulpix,Fire,Normal,38,41,40,50,65,65,1,False,6,99,60,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/vulpix.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/vulpix.gif'}"
44,Ninetales,Fire,Normal,73,76,75,81,100,100,1,False,11,199,177,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/ninetales.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/ninetales.gif'}"
45,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,1,False,5,55,95,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/jigglypuff.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/jigglypuff.gif'}"
46,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,1,False,10,120,196,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/wigglytuff.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/wigglytuff.gif'}"
47,Zubat,Poison,Flying,40,45,35,30,40,55,1,False,8,75,49,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/zubat.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/zubat.gif'}"
48,Golbat,Poison,Flying,75,80,70,65,75,90,1,False,16,550,159,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/golbat.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/golbat.gif'}"
49,Oddish,Grass,Poison,45,50,55,75,65,30,1,False,5,54,64,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/oddish.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/oddish.gif'}"
50,Gloom,Grass,Poison,60,65,70,85,75,40,1,False,8,86,138,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/gloom.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/gloom.gif'}"
51,Vileplume,Grass,Poison,75,80,85,110,90,50,1,False,12,186,221,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/vileplume.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/vileplume.gif'}"
52,Paras,Bug,Grass,35,70,55,45,55,25,1,False,3,54,57,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/paras.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/paras.gif'}"
53,Parasect,Bug,Grass,60,95,80,60,80,30,1,False,10,295,142,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/parasect.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/parasect.gif'}"
54,Venonat,Bug,Poison,60,55,50,40,55,45,1,False,10,300,61,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/venonat.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/venonat.gif'}"
55,Venomoth,Bug,Poison,70,65,60,90,75,90,1,False,15,125,158,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/venomoth.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/venomoth.gif'}"
56,Diglett,Ground,Normal,10,55,25,35,45,95,1,False,2,8,53,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/diglett.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/diglett.gif'}"
57,Dugtrio,Ground,Normal,35,80,50,50,70,120,1,False,7,333,149,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/dugtrio.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/dugtrio.gif'}"
58,Meowth,Normal,Normal,40,45,35,40,40,90,1,False,4,42,58,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/meowth.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/meowth.gif'}"
59,Persian,Normal,Normal,65,70,60,65,65,115,1,False,10,320,154,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/persian.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/persian.gif'}"
60,Psyduck,Water,Normal,50,52,48,65,50,55,1,False,8,196,64,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/psyduck.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/psyduck.gif'}"
61,Golduck,Water,Normal,80,82,78,95,80,85,1,False,17,766,175,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/golduck.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/golduck.gif'}"
62,Mankey,Fighting,Normal,40,80,35,35,45,70,1,False,5,280,61,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/mankey.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/mankey.gif'}"
64,Growlithe,Fire,Normal,55,70,45,70,50,60,1,False,7,190,70,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/growlithe.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/growlithe.gif'}"
65,Arcanine,Fire,Normal,90,110,80,100,80,95,1,False,19,1550,194,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/arcanine.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/arcanine.gif'}"
66,Poliwag,Water,Normal,40,50,40,40,40,90,1,False,6,124,60,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/poliwag.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/poliwag.gif'}"
67,Poliwhirl,Water,Normal,65,65,65,50,50,90,1,False,10,200,135,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/poliwhirl.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/poliwhirl.gif'}"
68,Poliwrath,Water,Fighting,90,95,95,70,90,70,1,False,13,540,230,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/poliwrath.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/poliwrath.gif'}"
69,Abra,Psychic,Normal,25,20,15,105,55,90,1,False,9,195,62,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/abra.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/abra.gif'}"
70,Kadabra,Psychic,Normal,40,35,30,120,70,105,1,False,13,565,140,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/kadabra.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/kadabra.gif'}"
71,Alakazam,Psychic,Normal,55,50,45,135,95,120,1,False,15,480,225,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/alakazam.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/alakazam.gif'}"
73,Machop,Fighting,Normal,70,80,50,35,35,35,1,False,8,195,61,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/machop.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/machop.gif'}"
74,Machoke,Fighting,Normal,80,100,70,50,60,45,1,False,15,705,142,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/machoke.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/machoke.gif'}"
75,Machamp,Fighting,Normal,90,130,80,65,85,55,1,False,16,1300,227,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/machamp.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/machamp.gif'}"
76,Bellsprout,Grass,Poison,50,75,35,70,30,40,1,False,7,40,60,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/bellsprout.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/bellsprout.gif'}"
77,Weepinbell,Grass,Poison,65,90,50,85,45,55,1,False,10,64,137,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/weepinbell.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/weepinbell.gif'}"
78,Victreebel,Grass,Poison,80,105,65,100,70,70,1,False,17,155,221,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/victreebel.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/victreebel.gif'}"
79,Tentacool,Water,Poison,40,40,35,50,100,70,1,False,9,455,67,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/tentacool.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/tentacool.gif'}"
80,Tentacruel,Water,Poison,80,70,65,80,120,100,1,False,16,550,180,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/tentacruel.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/tentacruel.gif'}"
81,Geodude,Rock,Ground,40,80,100,30,30,20,1,False,4,200,60,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/geodude.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/geodude.gif'}"
82,Graveler,Rock,Ground,55,95,115,45,45,35,1,False,10,1050,137,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/graveler.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/graveler.gif'}"
83,Golem,Rock,Ground,80,120,130,55,65,45,1,False,14,3000,223,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/golem.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/golem.gif'}"
84,Ponyta,Fire,Normal,50,85,55,65,65,90,1,False,10,300,82,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/ponyta.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/ponyta.gif'}"
85,Rapidash,Fire,Normal,65,100,70,80,80,105,1,False,17,950,175,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/rapidash.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/rapidash.gif'}"
86,Slowpoke,Water,Psychic,90,65,65,40,40,15,1,False,12,360,63,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/slowpoke.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/slowpoke.gif'}"
87,Slowbro,Water,Psychic,95,75,110,100,80,30,1,False,16,785,172,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/slowbro.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/slowbro.gif'}"
89,Magnemite,Electric,Steel,25,35,70,95,55,45,1,False,3,60,65,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/magnemite.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/magnemite.gif'}"
90,Magneton,Electric,Steel,50,60,95,120,70,70,1,False,10,600,163,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/magneton.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/magneton.gif'}"
92,Doduo,Normal,Flying,35,85,45,35,35,75,1,False,14,392,62,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/doduo.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/doduo.gif'}"
93,Dodrio,Normal,Flying,60,110,70,60,60,100,1,False,18,852,165,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/dodrio.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/dodrio.gif'}"
94,Seel,Water,Normal,65,45,55,45,70,45,1,False,11,900,65,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/seel.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/seel.gif'}"
95,Dewgong,Water,Ice,90,70,80,70,95,70,1,False,17,1200,166,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/dewgong.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/dewgong.gif'}"
96,Grimer,Poison,Normal,80,80,50,40,50,25,1,False,9,300,65,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/grimer.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/grimer.gif'}"
97,Muk,Poison,Normal,105,105,75,65,100,50,1,False,12,300,175,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/muk.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/muk.gif'}"
98,Shellder,Water,Normal,30,65,100,45,25,40,1,False,3,40,61,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/shellder.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/shellder.gif'}"
99,Cloyster,Water,Ice,50,95,180,85,45,70,1,False,15,1325,184,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/cloyster.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/cloyster.gif'}"
100,Gastly,Ghost,Poison,30,35,30,100,35,80,1,False,13,1,62,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/gastly.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/gastly.gif'}"
101,Haunter,Ghost,Poison,45,50,45,115,55,95,1,False,16,1,142,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/haunter.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/haunter.gif'}"
102,Gengar,Ghost,Poison,60,65,60,130,75,110,1,False,15,405,225,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/gengar.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/gengar.gif'}"
104,Onix,Rock,Ground,35,45,160,30,45,70,1,False,88,2100,77,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/onix.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/onix.gif'}"
105,Drowzee,Psychic,Normal,60,48,45,43,90,42,1,False,10,324,66,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/drowzee.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/drowzee.gif'}"
106,Hypno,Psychic,Normal,85,73,70,73,115,67,1,False,16,756,169,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/hypno.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/hypno.gif'}"
107,Krabby,Water,Normal,30,105,90,25,25,50,1,False,4,65,65,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/krabby.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/krabby.gif'}"
108,Kingler,Water,Normal,55,130,115,50,50,75,1,False,13,600,166,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/kingler.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/kingler.gif'}"
109,Voltorb,Electric,Normal,40,30,50,55,55,100,1,False,5,104,66,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/voltorb.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/voltorb.gif'}"
110,Electrode,Electric,Normal,60,50,70,80,80,140,1,False,12,666,172,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/electrode.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/electrode.gif'}"
111,Exeggcute,Grass,Psychic,60,40,80,60,45,40,1,False,4,25,65,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/exeggcute.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/exeggcute.gif'}"
112,Exeggutor,Grass,Psychic,95,95,85,125,65,55,1,False,20,1200,186,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/exeggutor.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/exeggutor.gif'}"
113,Cubone,Ground,Normal,50,50,95,40,50,35,1,False,4,65,64,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/cubone.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/cubone.gif'}"
114,Marowak,Ground,Normal,60,80,110,50,80,45,1,False,10,450,149,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/marowak.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/marowak.gif'}"
115,Hitmonlee,Fighting,Normal,50,120,53,35,110,87,1,False,15,498,159,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/hitmonlee.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/hitmonlee.gif'}"
116,Hitmonchan,Fighting,Normal,50,105,79,35,110,76,1,False,14,502,159,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/hitmonchan.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/hitmonchan.gif'}"
117,Lickitung,Normal,Normal,90,55,75,60,75,30,1,False,12,655,77,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/lickitung.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/lickitung.gif'}"
118,Koffing,Poison,Normal,40,65,95,60,45,35,1,False,6,10,68,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/koffing.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/koffing.gif'}"
119,Weezing,Poison,Normal,65,90,120,85,70,60,1,False,12,95,172,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/weezing.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/weezing.gif'}"
120,Rhyhorn,Ground,Rock,80,85,95,30,30,25,1,False,10,1150,69,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/rhyhorn.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/rhyhorn.gif'}"
121,Rhydon,Ground,Rock,105,130,120,45,45,40,1,False,19,1200,170,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/rhydon.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/rhydon.gif'}"
122,Chansey,Normal,Normal,250,5,5,35,105,50,1,False,11,346,395,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/chansey.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/chansey.gif'}"
123,Tangela,Grass,Normal,65,55,115,100,40,60,1,False,10,350,87,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/tangela.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/tangela.gif'}"
124,Kangaskhan,Normal,Normal,105,95,80,40,80,90,1,False,22,800,172,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/kangaskhan.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/kangaskhan.gif'}"
126,Horsea,Water,Normal,30,40,70,70,25,60,1,False,4,80,59,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/horsea.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/horsea.gif'}"
127,Seadra,Water,Normal,55,65,95,95,45,85,1,False,12,250,154,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/seadra.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/seadra.gif'}"
128,Goldeen,Water,Normal,45,67,60,35,50,63,1,False,6,150,64,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/goldeen.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/goldeen.gif'}"
129,Seaking,Water,Normal,80,92,65,65,80,68,1,False,13,390,158,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/seaking.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/seaking.gif'}"
130,Staryu,Water,Normal,30,45,55,70,55,85,1,False,8,345,68,"{'normal': 'http://img.pokemondb.net/sprites/black-white/normal/staryu.png', 'animated': 'http://img.pokemondb.net/sprites/black-white/anim/normal/staryu.gif'}"
